tweet_id,text,created_at,author_id,retweet_count,like_count,reply_count,quote_count,language,hashtags,mentions,topic,collection_timestamp
1973221899363922047,"RT @FurryBuns: You want some of this? Be careful what you wish for! 🖤

Find more art at the link in my bio!  🐾
#furryart #AI #AI美少女 https:/…",2025-10-01T03:02:16+00:00,984057527250731010,14,0,0,0,en,"['furryart', 'AI', 'AI美少女']",['FurryBuns'],technology,2025-10-01 12:32:29.885832
1973221898961166364,"https://t.co/HFWENzNjFi
ThX🌐#BOSCh #ecb #Pfizer #Chevron
my @enilev🪔mom
Mr @BetaMoroney sir

#bigdata #Linkedin 
#News #ML #finance #web3
#uk #usa #eUrope #health #ai
#france #frenchTECh #healthTech #ia #NVIDIA #Medical #banks #digitalhealth #SOciaLmeDia
https://t.co/wyDcK8wES3",2025-10-01T03:02:16+00:00,737142202481016832,0,0,0,0,en,"['BOSCh', 'ecb', 'Pfizer', 'Chevron', 'bigdata', 'Linkedin', 'News', 'ML', 'finance', 'web3', 'uk', 'usa', 'eUrope', 'health', 'ai', 'france', 'frenchTECh', 'healthTech', 'ia', 'NVIDIA', 'Medical', 'banks', 'digitalhealth', 'SOciaLmeDia']","['enilev', 'BetaMoroney']",technology,2025-10-01 12:32:29.885832
1973221884339822661,"RT @NaviKat2: 🔥🌜Un noche perfecta 🌜🔥

#AI #Sing2 #SukiLane #NSFW #furryart
#Parody #Furry https://t.co/rf61d2hG3K",2025-10-01T03:02:12+00:00,1141471001953234944,14,0,0,0,es,"['AI', 'Sing2', 'SukiLane', 'NSFW', 'furryart', 'Parody', 'Furry']",['NaviKat2'],technology,2025-10-01 12:32:29.885832
1973221869404004778,"https://t.co/0s9mwM2HH3
ThX🌐#BOSCh #ecb #Pfizer #Chevron
my @enilev🪔mom
Mr @BetaMoroney sir

#bigdata #Linkedin 
#News #ML #finance #web3
#uk #usa #eUrope #health #ai
#france #frenchTECh #healthTech #ia #NVIDIA #Medical #banks #digitalhealth #SOciaLmeDia
https://t.co/wyDcK8wES3",2025-10-01T03:02:09+00:00,737142202481016832,0,0,0,0,en,"['BOSCh', 'ecb', 'Pfizer', 'Chevron', 'bigdata', 'Linkedin', 'News', 'ML', 'finance', 'web3', 'uk', 'usa', 'eUrope', 'health', 'ai', 'france', 'frenchTECh', 'healthTech', 'ia', 'NVIDIA', 'Medical', 'banks', 'digitalhealth', 'SOciaLmeDia']","['enilev', 'BetaMoroney']",technology,2025-10-01 12:32:29.885832
1973221862768328750,"🟢 BUY XAUUSD (H1) at 3863.28
🎯 TP: 4102.32 | SL: 3803.52 | RR: 4.0
🤖 Breakout AI | Confidence: 81.8%

#AI #Forex #Crypto #XAUUSD",2025-10-01T03:02:07+00:00,1773553159228801024,0,0,1,0,in,"['AI', 'Forex', 'Crypto', 'XAUUSD']",[],technology,2025-10-01 12:32:29.885832
1973221852223775064,Oxford Uni uses AI to find supernovae! 🚀 Accelerating cosmic discovery &amp; revolutionizing space. Dive in! https://t.co/EIFhy4nljl #AI #Supernova #SpaceTech,2025-10-01T03:02:04+00:00,1944772676729368577,0,0,0,0,ro,"['AI', 'Supernova', 'SpaceTech']",[],technology,2025-10-01 12:32:29.885832
1973221847488458980,"RT @BlocksterCom: 🚀 @GetSwarmed $TRUTH token launches Oct 1! 

Using #blockchain + #AI agents to fight misinformation at scale. Accuracy fi…",2025-10-01T03:02:03+00:00,3420311314,294,0,0,0,en,"['blockchain', 'AI']","['BlocksterCom', 'GetSwarmed']",technology,2025-10-01 12:32:29.885832
1973221842178679079,"https://t.co/Va1cqBRf24
ThX🌐#BOSCh #ecb #Pfizer #Chevron
my @enilev🪔mom
Mr @BetaMoroney sir

#bigdata #Linkedin 
#News #ML #finance #web3
#uk #usa #eUrope #health #ai
#france #frenchTECh #healthTech #ia #NVIDIA #Medical #banks #digitalhealth #SOciaLmeDia
https://t.co/wyDcK8wES3",2025-10-01T03:02:02+00:00,737142202481016832,0,0,0,0,en,"['BOSCh', 'ecb', 'Pfizer', 'Chevron', 'bigdata', 'Linkedin', 'News', 'ML', 'finance', 'web3', 'uk', 'usa', 'eUrope', 'health', 'ai', 'france', 'frenchTECh', 'healthTech', 'ia', 'NVIDIA', 'Medical', 'banks', 'digitalhealth', 'SOciaLmeDia']","['enilev', 'BetaMoroney']",technology,2025-10-01 12:32:29.885832
1973221813569331565,"https://t.co/X6o6vonPBv
ThX🌐#BOSCh #ecb #Pfizer #Chevron
my @enilev🪔mom
Mr @BetaMoroney sir

#bigdata #Linkedin 
#News #ML #finance #web3
#uk #usa #eUrope #health #ai
#france #frenchTECh #healthTech #ia #NVIDIA #Medical #banks #digitalhealth #SOciaLmeDia
https://t.co/wyDcK8wES3",2025-10-01T03:01:55+00:00,737142202481016832,0,0,0,0,en,"['BOSCh', 'ecb', 'Pfizer', 'Chevron', 'bigdata', 'Linkedin', 'News', 'ML', 'finance', 'web3', 'uk', 'usa', 'eUrope', 'health', 'ai', 'france', 'frenchTECh', 'healthTech', 'ia', 'NVIDIA', 'Medical', 'banks', 'digitalhealth', 'SOciaLmeDia']","['enilev', 'BetaMoroney']",technology,2025-10-01 12:32:29.885832
1973221797983297564,RT @ostrava93: #AIグラビア #AI #Aiart️ #AIart︎ #AIArtworks #Aiartowork #aiartwork18 #aiartist #aiartcommunity #nsfw #hentaiِart #hentaiِ #henta…,2025-10-01T03:01:51+00:00,1495115114101489671,23,0,0,0,qht,"['AIグラビア', 'AI', 'Aiart️', 'AIart︎', 'AIArtworks', 'Aiartowork', 'aiartwork18', 'aiartist', 'aiartcommunity', 'nsfw', 'hentaiِart', 'hentaiِ']",['ostrava93'],technology,2025-10-01 12:32:29.885832
